# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"H1","N1","Undetermined"
"H1","N2","Undetermined"
"H1","RP","Undetermined"
"H2","N1","Undetermined"
"H2","N2","Undetermined"
"H2","RP","Undetermined"
"H3","N1","Undetermined"
"H3","N2","Undetermined"
"H3","RP","Undetermined"
"H4","N1","Undetermined"
"H4","N2","Undetermined"
"H4","RP","Undetermined"
"H5","N1","Undetermined"
"H5","N2","Undetermined"
"H5","RP","Undetermined"
"H6","N1","Undetermined"
"H6","N2","Undetermined"
"H6","RP","Undetermined"
"H7","N1","Undetermined"
"H7","N2","Undetermined"
"H7","RP","Undetermined"
"H8","N1","Undetermined"
"H8","N2","Undetermined"
"H8","RP","Undetermined"
"H9","N1","Undetermined"
"H9","N2","Undetermined"
"H9","RP","Undetermined"
"H10","N1","Undetermined"
"H10","N2","Undetermined"
"H10","RP","Undetermined"
"H11","N1","Undetermined"
"H11","N2","Undetermined"
"H11","RP","Undetermined"
"H12","N1","Undetermined"
"H12","N2","Undetermined"
"H12","RP","Undetermined"
"H13","N1","Undetermined"
"H13","N2","Undetermined"
"H13","RP","Undetermined"
"H14","N1","Undetermined"
"H14","N2","Undetermined"
"H14","RP","Undetermined"
"H15","N1","Undetermined"
"H15","N2","Undetermined"
"H15","RP","Undetermined"
"H16","N1","Undetermined"
"H16","N2","Undetermined"
"H16","RP","Undetermined"
"H17","N1","Undetermined"
"H17","N2","Undetermined"
"H17","RP","Undetermined"
"H18","N1","Undetermined"
"H18","N2","Undetermined"
"H18","RP","Undetermined"
"H19","N1","Undetermined"
"H19","N2","Undetermined"
"H19","RP","Undetermined"
"H20","N1","Undetermined"
"H20","N2","Undetermined"
"H20","RP","Undetermined"
"H21","N1","Undetermined"
"H21","N2","Undetermined"
"H21","RP","Undetermined"
"H22","N1","Undetermined"
"H22","N2","Undetermined"
"H22","RP","Undetermined"
"H23","N1","Undetermined"
"H23","N2","Undetermined"
"H23","RP","Undetermined"
"H24","N1","Undetermined"
"H24","N2","Undetermined"
"H24","RP","Undetermined"
"I1","N1","33.62955541651455"
"I1","N2","32.593102619841304"
"I1","RP","34.84029850413542"
"I2","N1","Undetermined"
"I2","N2","Undetermined"
"I2","RP","Undetermined"
"I3","N1","Undetermined"
"I3","N2","Undetermined"
"I3","RP","Undetermined"
"I4","N1","Undetermined"
"I4","N2","Undetermined"
"I4","RP","Undetermined"
"I5","N1","Undetermined"
"I5","N2","Undetermined"
"I5","RP","Undetermined"
"I6","N1","Undetermined"
"I6","N2","Undetermined"
"I6","RP","Undetermined"
"I7","N1","Undetermined"
"I7","N2","Undetermined"
"I7","RP","Undetermined"
"I8","N1","Undetermined"
"I8","N2","Undetermined"
"I8","RP","Undetermined"
"I9","N1","Undetermined"
"I9","N2","Undetermined"
"I9","RP","Undetermined"
"I10","N1","Undetermined"
"I10","N2","Undetermined"
"I10","RP","Undetermined"
"I11","N1","Undetermined"
"I11","N2","Undetermined"
"I11","RP","Undetermined"
"I12","N1","Undetermined"
"I12","N2","Undetermined"
"I12","RP","Undetermined"
"I13","N1","Undetermined"
"I13","N2","Undetermined"
"I13","RP","Undetermined"
"I14","N1","Undetermined"
"I14","N2","Undetermined"
"I14","RP","Undetermined"
"I15","N1","Undetermined"
"I15","N2","Undetermined"
"I15","RP","Undetermined"
"I16","N1","Undetermined"
"I16","N2","Undetermined"
"I16","RP","Undetermined"
"I17","N1","Undetermined"
"I17","N2","Undetermined"
"I17","RP","Undetermined"
"I18","N1","Undetermined"
"I18","N2","Undetermined"
"I18","RP","Undetermined"
"I19","N1","Undetermined"
"I19","N2","Undetermined"
"I19","RP","Undetermined"
"I20","N1","Undetermined"
"I20","N2","Undetermined"
"I20","RP","Undetermined"
"I21","N1","Undetermined"
"I21","N2","Undetermined"
"I21","RP","Undetermined"
"I22","N1","Undetermined"
"I22","N2","Undetermined"
"I22","RP","Undetermined"
"I23","N1","Undetermined"
"I23","N2","Undetermined"
"I23","RP","Undetermined"
"I24","N1","Undetermined"
"I24","N2","Undetermined"
"I24","RP","Undetermined"
